k,epoch,train_loss,val_loss
0,14,4.040092720538061,4.081861846703535
0,29,1.8316562530946587,2.431826301855854
0,44,1.3424530054616561,1.8743467872936348
0,59,0.9187882598454951,1.1416635127984442
0,74,0.5510154548586259,0.8086394438169299
0,89,0.424666229955205,0.7829252027696179
0,104,0.35102101918984685,0.9671202191498274
0,119,0.3170779113241251,0.9499681447000734
0,134,0.2787907507193248,0.9367468049974922
0,149,0.25572078520378144,0.8558547143549513
0,164,0.22126379971575885,0.8403165316088785
0,179,0.21326463433994913,0.8345550504792366
0,194,0.20644622938775986,0.8342173846108011
0,209,0.19940973106283777,0.8320239249002612
0,224,0.19446778542468962,0.8327815783395697
0,239,0.17817666736761179,0.8446246379503731
0,254,0.14513443873576748,0.8544436616244647
0,269,0.13552620744870109,0.9324525107824635
0,284,0.10891022601115331,0.9424230185042898
0,299,0.10183305047946957,1.0924562246660394
0,314,0.09511106342597989,1.0913225990417423
0,329,0.08123087812324213,1.097816932173522
0,344,0.06867156952440213,1.0985046650177426
0,359,0.06300600439532288,1.1025753636622802
0,374,0.039915300903545774,1.1076523163424083
0,389,0.03526718930922515,1.1220226798800352
0,404,0.011449813666944078,1.1295754895646757
0,419,0.008749402245699272,1.2073004724582483
0,434,0.00510222830518878,1.2100224606808343
0,449,0.0033156097370836374,1.2140194053101685
0,464,0.0022432821038932257,1.2160938231532803
0,479,0.000997670120647704,1.2128411619597148
0,494,0.00046722470228529136,1.2133039296269383
1,14,0.16008467595421458,1.0000050000287821e-05
1,29,0.11856359916259446,1.0000050000287821e-05
1,44,0.06011561058321983,1.0000050000287821e-05
1,59,0.032333836766782226,0.0019756561630574292
1,74,0.028370985502895133,0.004845783840882685
1,89,0.004502839137192015,0.007310612706890939
1,104,0.0010984784862051536,0.010751552382979526
1,119,0.00011661516031722073,0.01433810227812685
1,134,1.0000050000287821e-05,0.016752475790618608
1,149,1.0000050000287821e-05,0.02012819254415915
1,164,1.0000050000287821e-05,0.023940649799700398
1,179,1.0000050000287821e-05,0.030951824085538936
1,194,1.0000050000287821e-05,0.05137849903273997
1,209,1.0000050000287821e-05,0.11751168437869061
1,224,1.0000050000287821e-05,0.11783912824119437
1,239,1.0000050000287821e-05,0.1177308780492841
1,254,1.0000050000287821e-05,0.11746575043251098
1,269,1.0000050000287821e-05,0.11727681848394891
1,284,1.0000050000287821e-05,0.1177447902179968
1,299,1.0000050000287821e-05,0.11874615030206441
1,314,1.0000050000287821e-05,0.11757689479734436
1,329,1.0000050000287821e-05,0.11934873191907122
1,344,1.0000050000287821e-05,0.12091041907348021
1,359,1.0000050000287821e-05,0.12258830238958239
1,374,1.0000050000287821e-05,0.12420118178481528
1,389,1.0000050000287821e-05,0.12780809820522396
1,404,1.0000050000287821e-05,0.1390928015716778
1,419,1.0000050000287821e-05,0.21528981698846686
1,434,1.0000050000287821e-05,0.21533081794173878
1,449,1.0000050000287821e-05,0.2149736053263743
1,464,1.0000050000287821e-05,0.21453224729643822
1,479,1.0000050000287821e-05,0.21404581172409484
1,494,1.0000050000287821e-05,0.21475359383387957
2,14,1.0000050000287821e-05,1.0000050000287821e-05
2,29,1.0000050000287821e-05,1.0000050000287821e-05
2,44,1.0000050000287821e-05,1.0000050000287821e-05
2,59,1.0000050000287821e-05,1.0000050000287821e-05
2,74,1.0000050000287821e-05,1.0000050000287821e-05
2,89,1.0000050000287821e-05,1.0000050000287821e-05
2,104,1.0000050000287821e-05,1.0000050000287821e-05
2,119,1.0000050000287821e-05,1.0000050000287821e-05
2,134,1.0000050000287821e-05,1.0000050000287821e-05
2,149,1.0000050000287821e-05,1.0000050000287821e-05
2,164,1.0000050000287821e-05,1.0000050000287821e-05
2,179,1.0000050000287821e-05,1.0000050000287821e-05
2,194,1.0000050000287821e-05,1.0000050000287821e-05
2,209,1.0000050000287821e-05,1.0000050000287821e-05
2,224,1.0000050000287821e-05,1.0000050000287821e-05
2,239,1.0000050000287821e-05,1.0000050000287821e-05
2,254,1.0000050000287821e-05,1.0000050000287821e-05
2,269,1.0000050000287821e-05,1.0000050000287821e-05
2,284,1.0000050000287821e-05,1.0000050000287821e-05
2,299,1.0000050000287821e-05,1.0000050000287821e-05
2,314,1.0000050000287821e-05,1.0000050000287821e-05
2,329,1.0000050000287821e-05,1.0000050000287821e-05
2,344,1.0000050000287821e-05,1.0000050000287821e-05
2,359,1.0000050000287821e-05,1.0000050000287821e-05
2,374,1.0000050000287821e-05,0.001257443900109376
2,389,1.0000050000287821e-05,0.0026864282783793125
2,404,1.0000050000287821e-05,0.00597172783667946
2,419,1.0000050000287821e-05,0.01162567278424272
2,434,1.0000050000287821e-05,0.01540094871671249
2,449,1.0000050000287821e-05,0.03521998464570904
2,464,1.0000050000287821e-05,0.11000378323951643
2,479,1.0000050000287821e-05,0.11074791893382835
2,494,1.0000050000287821e-05,0.11237281836037838
3,14,1.0000050000287821e-05,1.0000050000287821e-05
3,29,1.0000050000287821e-05,1.0000050000287821e-05
3,44,1.0000050000287821e-05,1.0000050000287821e-05
3,59,1.0000050000287821e-05,1.0000050000287821e-05
3,74,1.0000050000287821e-05,1.0000050000287821e-05
3,89,1.0000050000287821e-05,1.0000050000287821e-05
3,104,1.0000050000287821e-05,1.0000050000287821e-05
3,119,1.0000050000287821e-05,1.0000050000287821e-05
3,134,1.0000050000287821e-05,1.0000050000287821e-05
3,149,1.0000050000287821e-05,1.0000050000287821e-05
3,164,1.0000050000287821e-05,1.0000050000287821e-05
3,179,1.0000050000287821e-05,1.0000050000287821e-05
3,194,1.0000050000287821e-05,1.0000050000287821e-05
3,209,1.0000050000287821e-05,1.0000050000287821e-05
3,224,1.0000050000287821e-05,1.0000050000287821e-05
3,239,1.0000050000287821e-05,0.0031142883674246313
3,254,1.0000050000287821e-05,0.0039078347750257925
3,269,1.0000050000287821e-05,0.005181253310142467
3,284,1.0000050000287821e-05,0.0071992746498205995
3,299,1.0000050000287821e-05,0.011716461898416712
3,314,1.0000050000287821e-05,0.021691987722539153
3,329,1.0000050000287821e-05,0.10603216280978003
3,344,1.0000050000287821e-05,0.10722190134403307
3,359,1.0000050000287821e-05,0.11026431826630985
3,374,1.0000050000287821e-05,0.11376351439415777
3,389,1.0000050000287821e-05,0.1214228804231542
3,404,1.0000050000287821e-05,0.21125615536963754
3,419,1.0000050000287821e-05,0.21125615536963754
3,434,1.0000050000287821e-05,0.21125615536963754
3,449,1.0000050000287821e-05,0.21125615536963754
3,464,1.0000050000287821e-05,0.2119254349744481
3,479,1.0000050000287821e-05,0.2162175311883719
3,494,1.0000050000287821e-05,0.21491253629714696
4,14,1.0000050000287821e-05,1.0000050000287821e-05
4,29,1.0000050000287821e-05,1.0000050000287821e-05
4,44,1.0000050000287821e-05,1.0000050000287821e-05
4,59,1.0000050000287821e-05,1.0000050000287821e-05
4,74,1.0000050000287821e-05,1.0000050000287821e-05
4,89,1.0000050000287821e-05,1.0000050000287821e-05
4,104,1.0000050000287821e-05,1.0000050000287821e-05
4,119,1.0000050000287821e-05,1.0000050000287821e-05
4,134,1.0000050000287821e-05,1.0000050000287821e-05
4,149,1.0000050000287821e-05,1.0000050000287821e-05
4,164,1.0000050000287821e-05,1.0000050000287821e-05
4,179,1.0000050000287821e-05,1.0000050000287821e-05
4,194,1.0000050000287821e-05,1.0000050000287821e-05
4,209,1.0000050000287821e-05,1.0000050000287821e-05
4,224,1.0000050000287821e-05,1.0000050000287821e-05
4,239,1.0000050000287821e-05,1.0000050000287821e-05
4,254,1.0000050000287821e-05,1.0000050000287821e-05
4,269,1.0000050000287821e-05,1.0000050000287821e-05
4,284,1.0000050000287821e-05,1.0000050000287821e-05
4,299,1.0000050000287821e-05,1.0000050000287821e-05
4,314,1.0000050000287821e-05,1.0000050000287821e-05
4,329,1.0000050000287821e-05,1.0000050000287821e-05
4,344,1.0000050000287821e-05,1.0000050000287821e-05
4,359,1.0000050000287821e-05,1.0000050000287821e-05
4,374,1.0000050000287821e-05,1.0000050000287821e-05
4,389,1.0000050000287821e-05,1.0000050000287821e-05
4,404,1.0000050000287821e-05,1.0000050000287821e-05
4,419,1.0000050000287821e-05,1.0000050000287821e-05
4,434,1.0000050000287821e-05,1.0000050000287821e-05
4,449,1.0000050000287821e-05,1.0000050000287821e-05
4,464,1.0000050000287821e-05,1.0000050000287821e-05
4,479,1.0000050000287821e-05,1.0000050000287821e-05
4,494,1.0000050000287821e-05,1.0000050000287821e-05
